         27760 function calls (27248 primitive calls) in 427.688 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 subprocess.py:1358(_get_handles)
        6    0.001    0.000    0.011    0.002 subprocess.py:1412(_execute_child)
       24    0.000    0.000    0.000    0.000 subprocess.py:1471(<genexpr>)
        6    0.000    0.000    0.000    0.000 subprocess.py:1555(_handle_exitstatus)
      261    0.001    0.000    0.003    0.000 subprocess.py:1573(_internal_poll)
        4    0.000    0.000  422.556  105.639 subprocess.py:1608(_try_wait)
        9    0.000    0.000  422.557   46.951 subprocess.py:1621(_wait)
        6    0.000    0.000    0.000    0.000 subprocess.py:240(_cleanup)
        3    0.000    0.000    0.017    0.006 subprocess.py:367(check_output)
        1    0.000    0.000    0.000    0.000 subprocess.py:414(CompletedProcess)
        1    0.000    0.000    0.026    0.026 subprocess.py:42(<module>)
        3    0.000    0.000    0.000    0.000 subprocess.py:425(__init__)
        3    0.000    0.000    0.017    0.006 subprocess.py:447(run)
        1    0.000    0.000    0.000    0.000 subprocess.py:57(SubprocessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:60(CalledProcessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
        6    0.000    0.000    0.012    0.002 subprocess.py:681(__init__)
        3    0.000    0.000    0.000    0.000 subprocess.py:844(__enter__)
        3    0.000    0.000    0.000    0.000 subprocess.py:847(__exit__)
